REGION,circle,EMS_ALIAS,CITY,JC_CODE,JC_SAP_ID,CMP_NAME,LSM_NAME,SYS_ALIAS,IP_ADDR_1,ActiveVersion,SITE_TYPE,OUTAGE_12AM_12PM,OUTAGE_12PM_12AM,TOTAL_ENB_DOWN_SEC,CMP_CODE,Availability,Equipment Vendor
North,Haryana,I-HR-ABCS-OSC-0001-SMC001,Abub Shahar(271) Split Vill.,HR-MDDB-JC01-0296,I-HR-MDDB-JCO-0001,Hissar,Ambala,198393,2405:200:110:3800:7:2:603:da06,15.17.00.2631,,2287,4977,7264,INHRHISR01,91.59,Airspan
North,Haryana,I-HR-ABCS-OSC-0001-SMC002,Abub Shahar(271) Split Vill.,HR-MDDB-JC01-0296,I-HR-MDDB-JCO-0001,Hissar,Ambala,198394,2405:200:110:3800:7:2:603:da07,15.17.00.2631,,1240,5457,6697,INHRHISR01,92.25,Airspan
North,Haryana,I-HR-AKER-OSC-0001-SMC001,Aakera (292) (CT),HR-RWRI-JC01-0333,I-HR-RWRI-JCO-0001,Rewari,Ambala,200061,2405:200:134:700:7:2:603:b09,15.17.00.2631,,64,0,64,INHRRWRI01,99.93,Airspan
North,Haryana,I-HR-AKER-OSC-0001-SMC002,Aakera (292) (CT),HR-RWRI-JC01-0333,I-HR-RWRI-JCO-0001,Rewari,Ambala,200062,2405:200:134:700:7:2:603:b0a,15.17.00.2631,,7,0,7,INHRRWRI01,99.99,Airspan
North,Haryana,I-HR-AMBA-OSC-0052-SMC001,Ambala,HR-AMBA-JC01-0315,I-HR-AMBA-JCO-0001,Ambala,Ambala,196800,2405:200:133:1301:7:2:603:2705,14.17.00.2631,,0,0,0,INHRAMBA01,100.00,Airspan
North,Haryana,I-HR-AMBA-OSC-0052-SMC002,Ambala,HR-AMBA-JC01-0315,I-HR-AMBA-JCO-0001,Ambala,Ambala,196801,2405:200:133:1301:7:2:603:2706,14.17.00.2607,,0,0,0,INHRAMBA01,100.00,Airspan
North,Haryana,I-HR-AMBA-OSC-0052-SMC003,Ambala,HR-AMBA-JC01-0315,I-HR-AMBA-JCO-0001,Ambala,Ambala,196802,2405:200:133:1301:7:2:603:2707,14.17.00.2631,,0,0,0,INHRAMBA01,100.00,Airspan
North,Haryana,I-HR-AMBA-OSC-0053-SMC001,Ambala,HR-AMBA-JC01-0315,I-HR-AMBA-JCO-0001,Ambala,Ambala,196901,2405:200:133:500:7:2:603:bf04,14.17.00.2631,,0,0,0,INHRAMBA01,100.00,Airspan
North,Haryana,I-HR-AMBA-OSC-0053-SMC002,Ambala,HR-AMBA-JC01-0315,I-HR-AMBA-JCO-0001,Ambala,Ambala,196902,2405:200:133:500:7:2:603:bf05,14.17.00.2631,,0,0,0,INHRAMBA01,100.00,Airspan
North,Haryana,I-HR-AMBA-OSC-0053-SMC003,Ambala,HR-AMBA-JC01-0315,I-HR-AMBA-JCO-0001,Ambala,Ambala,196903,2405:200:133:500:7:2:603:bf06,14.17.00.2631,,0,0,0,INHRAMBA01,100.00,Airspan
