uid,year,week,ticket_no,parent_ticket,circle,cmp,cmm_name,link_name,span_name,vendor_tt,fibre_owner,construction_type,impact,affected_service,reason,event_date,reported_to_fibre_noc,informed_date,etr,cleared_date,status,resolution,fault_description,mttr,mttn,delay_reason,inter_intra_bin,zone,bucket,transport_ip_bin,restoration_status,span_id,workorder,sp_name,rca_cause_code,reason_high_mttr,day,month,week_name,ttr_percentage
NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2026WK-18'26,2026,WK-18'26,IM367830085,,Haryana,Delhi-3 (Central-East),CMM Name,Delhi Metro Core,Loni 1-Seelampur,,,O & M,NSA,MetroCore,Fibre Cut,02-05-2026,0000-00-00 00:00:00,02-05-2026 14:51,02-05-2026 19:00,02-05-2026 18:54,Resolved,Restored by single joint,02-05-2026 18:54,4.18,00:08,Others,Intercity,North,Own,Transport,Permanent,DLHI_0029,1.00171E+11,,NULL,,2,May-26,WK-18'26,TTR>4Hrs
2026WK-18'26,2026,WK-18'26,IM368517949,,Delhi,Delhi-3 (Central-East),CMM Name,Delhi Metro Access,PGCIL NRTCC Delhi-INA Access,,,O & M,,MetroCore,Fibre Cut,05-05-2026,0000-00-00 00:00:00,05-05-2026 19:47,06-05-2026 00:00,05-05-2026 22:37,Resolved,Restored by single joint,CMP changed to Delhi-3,2.93,00:06,,Intercity,North,Own,Transport,Permanent,DLDLHI4019DLHIB111_BI,1.00172E+11,,NULL,,5,May-26,WK-18'26,TTR<4Hrs
2026WK-18'26,2026,WK-18'26,IM368829369,,Delhi,Delhi-1 (West),CMM Name,Meerut-Delhi#2 (Vikaspuri),Alipur-Delhi#2 (Vikaspuri) 167,,,O & M,NSA,Core - Collector,Fibre Cut,07-05-2026,0000-00-00 00:00:00,07-05-2026 08:12,07-05-2026 12:00,07-05-2026 08:59,Resolved,Restored by single joint,CMP changed Delhi- 1.,0.92,00:07,,Intercity,North,Own,Transport,,DLDLHIDLDLHISPN004_BU,1.00169E+11,,NULL,,7,May-26,WK-18'26,TTR<4Hrs
2026WK-18'26,2026,WK-18'26,IM368868801,,Delhi,Noida (NCR),CMM Name,Sector-46 Noida-Bulandshehar,Noida 46-Gulaothi,,,O & M,,Collector,Fibre Cut,07-05-2026,0000-00-00 00:00:00,07-05-2026 11:55,07-05-2026 15:15,07-05-2026 14:50,Resolved,Restored by double joint,As per Mr Atul +918810694469 // Own Aerial fiber // Cut due to PE C6308535 was going and not completed within time // OTDR at 13.4 km from Noida 46 // Restored by Double joint // 2 JC added // 150 meter cable added . Span Name LER SpanLoss Egress Ingress Status Gulaothi - Noida sec 46 22 21.72 03.61 -18.11 - Noida sec 46 - Gulaothi 22 23.51 02.59 -20.92 -,3,00:05,,Intercity,North,Own,Transport,Permanent,DLNOIDUWGULTSPQ001_BU,1.00172E+11,,NULL,,7,May-26,WK-18'26,TTR<4Hrs
2026WK-18'26,2026,WK-18'26,IM367603985,,Delhi,Delhi-4 (North),CMM Name,I-DL-DLHI-ENB-1223,I-DL-DLHI-AG2-0010,,,O & M,NSA,AG2 - AG1,Fibre Cut,01-05-2026,01-05-2026 12:58,01-05-2026 12:58,0000-00-00 00:00:00,02-05-2026 02:15,Resolved,Restored by double joint,"CMP_Interface Down [2]: DELHI TELECOM CIRCLE/Delhi-4 (North);Link: AG2_AG1 : IPOF :; Down Since:2026-05-01 12:50:58.000000
 $$ [AG2_AG1]I-DL-DLHI-ENB-1223<->I-DL-DLHI-AG2-0010
DLHINNGPPAR001/TenGigE0/4/0/0
DLHIOTRMAAR001/TenGigE0/0/1/15
DLHIOTRMAAR001/Bundle-Ether1500
DLHIOTRMAAR001/Bundle-Ether1500
DLHINNGPPAR001/Bundle-Ether1500
DLHINNGPPAR001/TenGigE0/2/0/0
DLHIOTRMAAR001/TenGigE0/0/0/15;[AG2_OLT]I-DL-DLHI-ENB-9286<->I-DL-DLHI-AG2-0010 $$ 

Interface down AG2_AG1 Total :2,10G:2,100G:0,400G:0: IPOF : between I-DL-DLHI-ENB-1223 and I-DL-DLHI-AG2-0010[Vill-Nangli Puna & Model Town (Gujrawala Town) ] since 2026-05-01 12:50:58
 PR ALARM : Interface down AG2_AG1 SO6-CO Total :2,10G:2,100G:0,400G:0 Rg:N Between Site : DLHINNGPPAR001 port TenGigE0/4/0/0; AND DLHIOTRMAAR001 port TenGigabitEthernet0/0/0/15-ETH;MaintenancePoint - Delhi-4 (North);SAPID - I-DL-DLHI-ENB-1223;DESTINATION_SAPID - I-DL-DLHI-AG2-0010
DLHINNGPPAR001/TenGigE0/4/0/0
DLHIOTRMAAR001/TenGigE0/0/1/15
DLHIOTRMAAR001/Bundle-Ether1500
DLHIOTRMAAR001/Bundle-Ether1500
DLHINNGPPAR001/Bundle-Ether1500
DLHINNGPPAR001/TenGigE0/2/0/0
DLHIOTRMAAR001/TenGigE0/0/0/15
Fttx:Multiple_Fiber Cut Between AG2 to OLT: IPOF : | INDLDLHIBCKCNB0005ENBOLT001_NT-A:SFP-1 | I-DL-DLHI-ENB-9286 | 10.0.243.108 | Nr. Radha Krishna Mandir  Swaroop Nagar and INDLDLHIOTRMNB0001MA2AAR001_TENGIGE0/0/1/13 | I-DL-DLHI-AG2-0010 | 49.44.0.158 | Model Town (Gujrawala Town)
[Link 1:INDLDLHIBCKCNB0005ENBOLT001_NT-A:SFP-1 | I-DL-DLHI-ENB-",13.4,00:07,,Intercity,North,Own,Intercity IP Core,,INDLDLHINNGPNB0001MA1PAR001,1.00172E+11,,NULL,,2,May-26,WK-18'26,TTR>4Hrs
2026WK-18'26,2026,WK-18'26,IM367778442,,Delhi,Delhi-1 (West),CMM Name,I-DL-DLHI-AG2-0017,I-DL-DLHI-ENB-0618,,,O & M,NSA,AG2 - AG1,Fibre Cut,02-05-2026,02-05-2026 10:41,02-05-2026 10:41,0000-00-00 00:00:00,02-05-2026 15:32,Resolved,Restored by double joint,"CMP_Interface Down [5]: DELHI TELECOM CIRCLE/Delhi-1 (West);Link: AG2_AG1 : IPOF :; Down Since:2026-05-02 10:31:54.000000
 $$ [AG2_AG1]I-DL-DLHI-AG2-0017<->I-DL-DLHI-ENB-0618
DLHISDPKAAR001/TenGigE0/0/0/19
DLHISDPKAAR001/TenGigE0/0/0/19
DLHIKMRNPAR003/TenGigabitEthernet0/0/6
DLHISDPKAAR001/TenGigE0/0/0/14
DLHISDPKAAR001/Bundle-Ether1611
DLHISDPKAAR001/TenGigE0/0/0/14
DLHISDPKAAR001/Bundle-Ether1611
DLHIKMRNPAR003/TenGigabitEthernet0/0/0;[AG2_AG1]I-DL-DLHI-ENB-0626<->I-DL-DLHI-AG3-0001
DLHIVKDEAAR001/TenGigE0/1/1/4
DLHIKMRNPAR002/TenGigabitEthernet0/0/6
DLHIVKDEAAR001/TenGigE0/1/1/4
DLHIVKDEAAR001/TenGigE0/1/1/5
DLHIVKDEAAR001/Bundle-Ether1617
DLHIVKDEAAR001/TenGigE0/1/1/5
DLHIVKDEAAR001/Bundle-Ether1617;[AG2_OLT]I-DL-DLHI-ENB-6147<->I-DL-DLHI-AG3-0001;[OLT_OLT]I-DL-DLHI-ESC-8034<->I-DL-DLHI-ENB-3309;[OLT_OLT]I-DL-DLHI-ENB-2764<->I-DL-DLHI-ENB-0982 $$ 

Interface down AG2_AG1 Total :2,10G:2,100G:0,400G:0 between Kirti Nagar and Mayapuri Industerial Area since 2026-05-02 10:31:54
 PR ALARM : Interface down AG2_AG1 SO6-CO Total :2,10G:2,100G:0,400G:0 Rg:N Between Site : DLHISDPKAAR001 port TenGigE0/0/0/19; AND DLHIKMRNPAR003 port Port-Channel1-ETH;MaintenancePoint - Delhi-1 (West);SAPID - I-DL-DLHI-AG2-0017;DESTINATION_SAPID - I-DL-DLHI-ENB-0618
DLHISDPKAAR001/TenGigE0/0/0/19
DLHISDPKAAR001/TenGigE0/0/0/19
DLHIKMRNPAR003/TenGigabitEthernet0/0/6
DLHISDPKAAR001/TenGigE0/0/0/14
DLHISDPKAAR001/Bundle-Ether1611
DLHISDPKAAR001/TenGigE0/0/0/14
DLHISDPKAAR001/B",5,00:09,,Intercity,North,Own,Intercity IP Core,,INDLDLHISDPKNB0001MA2AAR001,1.00172E+11,,NULL,,2,May-26,WK-18'26,TTR>4Hrs
2026WK-18'26,2026,WK-18'26,IM368629736,,Delhi,Delhi-4 (North),CMM Name,I-DL-DLHI-AG1-4485,I-DL-DLHI-AG2-0010,,,O & M,NSA,AG2 - AG1,Fibre Cut,06-05-2026,06-05-2026 09:29,06-05-2026 09:29,0000-00-00 00:00:00,06-05-2026 18:54,Resolved,Restored by double joint,"CMP_Interface Down [2]: DELHI TELECOM CIRCLE/Delhi-4 (North);Link: AG2_AG1 : IPOF :; Down Since:2026-05-06 09:22:55.000000
 $$ [AG2_AG1]I-DL-DLHI-AG1-4485<->I-DL-DLHI-AG2-0010
DLHIIDPLPAR001/TenGigE0/2/0/1
DLHIOTRMAAR001/TenGigE0/0/0/14;[AG2_AG1]I-DL-DLHI-AG1-4436<->I-DL-DLHI-AG2-0010
DLHIRHINPAR001/TenGigabitEthernet0/0/0
DLHIOTRMAAR001/TenGigE0/0/1/1
DLHIOTRMAAR001/TenGigE0/0/0/13
DLHIOTRMAAR001/TenGigE0/0/1/1
DLHIRHINPAR001/TenGigabitEthernet0/4/6
DLHIOTRMAAR001/TenGigE0/0/0/13
DLHIOTRMAAR001/Bundle-Ether1602
DLHIOTRMAAR001/Bundle-Ether1602 $$ 

Interface down AG2_AG1 Total :1,10G:1,100G:0,400G:0: IPOF : between I-DL-DLHI-AG1-4485 and I-DL-DLHI-AG2-0010[Kaushik Enclave,Burari & Model Town (Gujrawala Town) ] since 2026-05-06 09:22:55
 PR ALARM : Interface down AG2_AG1 SO6-CO Total :1,10G:1,100G:0,400G:0 Rg:N Between Site : DLHIIDPLPAR001 port TenGigE0/2/0/1; AND DLHIOTRMAAR001 port TenGigE0/0/0/14-Fiber-16367606;MaintenancePoint - Delhi-4 (North);SAPID - I-DL-DLHI-AG1-4485;DESTINATION_SAPID - I-DL-DLHI-AG2-0010
DLHIIDPLPAR001/TenGigE0/2/0/1
DLHIOTRMAAR001/TenGigE0/0/0/14
Interface down AG2_AG1 Total :2,10G:2,100G:0,400G:0: IPOF : between I-DL-DLHI-AG1-4436 and I-DL-DLHI-AG2-0010[MUKUNDPUR,PART-2 & Model Town (Gujrawala Town) ] since 2026-05-06 09:22:55
 PR ALARM : Interface down AG2_AG1 SO6-CO Total :2,10G:2,100G:0,400G:0 Rg:N Between Site : DLHIRHINPAR001 port TenGigabitEthernet0/0/0; AND DLHIOTRMAAR001 port TenGig0/0/1/1-FIBER;MaintenancePoint - Delhi-4 ",9.52,00:07,Police Issue,Intercity,North,Own,Intercity IP Core,Permanent,INDLDLHIIDPLCR0001SM1PAR001,1.00172E+11,,NULL,,6,May-26,WK-18'26,TTR>4Hrs
